Row,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
1013109,-3.78668686837817e-05,-5.13416508429934e-06,-2.6604464496258e-06,-1.077224433066e-05,-1.15315519785007e-05,-6.14412317247875e-06,1.009621227798e-05,5.71236551860508e-06,-3.8674438566919e-06,-3.60226192698296e-06,8.63707483980834e-06,-1.63157604850937e-06,1.3544622476625e-05
1013955,4.55294690800553e-05,-5.10093903993039e-06,7.9572521672667e-06,-7.03623162260907e-06,4.1509522094402e-06,-3.32543841899893e-06,-5.31809123655299e-06,1.02548366769235e-05,-7.7976518403208e-06,-8.56112575928198e-07,8.06611677668761e-06,-3.07864208011451e-07,-7.36519710000645e-06
1020724,3.78479031146842e-05,-4.99710412115679e-06,2.97606310512425e-06,-5.13872039843072e-06,-2.18199411304716e-06,-9.38729099379191e-07,1.03133565942518e-05,-3.62635602428164e-06,-2.42143999688376e-06,-8.18619033705861e-07,3.79389549417486e-06,-4.36733484626729e-06,5.3928351136387e-06
1027468,-4.80695341279522e-05,1.10645609910391e-06,-1.90383396674096e-05,6.69944853031295e-06,1.06012814955754e-05,1.12144216627081e-05,1.96609510827775e-05,-7.32514327805467e-06,1.81216572590869e-05,2.47413058688386e-06,-3.31616107932133e-06,1.65553016160194e-05,-1.1471477632961e-05
1028230,-5.75852108411191e-05,4.05468537903762e-06,6.78945921141859e-06,9.75230643872022e-07,1.7358534453244e-06,-5.20616619616804e-07,7.24578563380836e-08,2.39112371742497e-06,1.5794066137083e-06,-1.25734930551666e-07,2.63609333773303e-06,-1.38560158880156e-06,-2.42934848754041e-06
1030701,6.03258750426556e-06,2.04781830585359e-05,6.33535559190346e-06,5.40631841651701e-06,4.6659302845381e-06,8.23580529075334e-06,5.05976629160346e-07,-1.10149668500771e-05,3.42500522989165e-06,-5.38047931504133e-06,-8.02456197519697e-06,7.64423728595263e-06,3.04363577113692e-06
1031213,3.69684084259269e-05,-6.85293378546634e-07,-1.21673649297508e-05,-1.01559863256237e-05,-1.48539474797896e-07,2.9994147644839e-06,1.92024006921896e-06,-4.65549098180557e-06,-7.56613737740644e-07,1.48840784820554e-06,9.89123397398476e-06,-2.12792095330566e-06,6.17029874401639e-06
1033052,-3.78371674329789e-05,-6.08385447489533e-06,-1.7612029985871e-05,-1.66206969935164e-06,1.6461766880229e-05,1.90490404623313e-06,2.84107437883418e-06,-1.14127360709957e-05,-1.97381099772348e-06,-8.99274644016873e-06,-5.80887634803974e-06,1.66776996738865e-06,3.72592213954266e-06
1033492,-5.34245086721775e-05,1.7220725441189e-05,-2.05039096511093e-05,-8.72764636738194e-06,1.67967526564021e-05,5.63637038574594e-06,-6.52929510234533e-06,1.21498141449857e-05,5.61882953094533e-06,-6.00439854599032e-06,-1.24355132120991e-05,-3.38895551818161e-06,2.98192103580803e-06
1034169,2.4494636239771e-05,-1.19986299082658e-05,5.74947312032805e-06,4.62091618879085e-06,3.94459432309208e-06,-9.27834611567036e-06,5.52395510919527e-06,1.01662286179956e-05,-6.00540458362885e-06,5.18350934490097e-06,7.50933418990564e-06,4.30654055371823e-06,-7.17393960345394e-07
1034796,1.57943076534402e-05,8.6726559416913e-07,1.34853632037805e-05,4.71276983816249e-06,-7.94787442409508e-06,-2.57300506930915e-06,-8.77991099372302e-06,5.15959588464026e-06,-1.24328266856881e-05,4.84492018058522e-06,1.90032742739079e-06,-3.93298553890864e-06,4.05914375601242e-06
