reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
0.21588,0.2698,0.28701,0.26167,0.26628,0.25393,0.24435,0.23669,0.22951,0.23275,0.2121,0.19504,0.18504,0.37493,0.35331,0.34613,0.34036,0.31005,0.30366,0.29633,0.29408,0.27068,0.25808,0.24671,0.23535,0.21781
0.23684,0.30608,0.26325,0.25974,0.24146,0.24259,0.23568,0.21872,0.2056,0.19303,0.19911,0.17787,0.18574,0.37986,0.35819,0.34078,0.31242,0.3045,0.2888,0.27998,0.26495,0.25917,0.24956,0.24188,0.22112,0.21971
0.15552,0.21948,0.2066,0.21039,0.20956,0.18355,0.20659,0.19191,0.19531,0.21311,0.188,0.1669,0.18043,0.36448,0.34897,0.33139,0.32643,0.32338,0.31382,0.28967,0.28393,0.26525,0.2637,0.25749,0.23369,0.2221
0.23049,0.29971,0.25705,0.26444,0.26812,0.23866,0.22114,0.22727,0.21965,0.20244,0.18624,0.17605,0.18448,0.36442,0.35505,0.33523,0.3236,0.31497,0.29487,0.28667,0.26961,0.25725,0.24649,0.23186,0.22073,0.21324
0.33573,0.27417,0.29185,0.30878,0.28699,0.29263,0.28294,0.2673,0.26,0.25932,0.25972,0.22919,0.23188,0.34938,0.33249,0.32104,0.31628,0.30331,0.29631,0.27746,0.26552,0.25666,0.25503,0.2378,0.2206,0.2148
0.29054,0.32361,0.30262,0.30286,0.30343,0.3035,0.27723,0.26813,0.25362,0.26536,0.22886,0.20932,0.19999,0.35196,0.34424,0.33336,0.32868,0.31379,0.30523,0.29568,0.28235,0.27398,0.26468,0.24275,0.22373,0.20977
0.33445,0.34054,0.30364,0.28787,0.30923,0.30097,0.28352,0.27088,0.26053,0.25651,0.24149,0.20135,0.20478,0.37673,0.34666,0.33576,0.32985,0.32221,0.30884,0.28887,0.28387,0.2706,0.26651,0.25163,0.21988,0.2066
0.16376,0.2129,0.22546,0.20621,0.16483,0.21843,0.21639,0.22094,0.16909,0.19139,0.16954,0.17362,0.14573,0.38749,0.36413,0.32839,0.32483,0.31047,0.30432,0.29173,0.27493,0.26676,0.249,0.2245,0.2186,0.21558
0.22961,0.30017,0.28565,0.25279,0.25166,0.25563,0.23507,0.22837,0.22905,0.22325,0.23155,0.20374,0.20035,0.37751,0.36395,0.3445,0.31729,0.31081,0.30858,0.2898,0.28165,0.26474,0.25887,0.25394,0.2411,0.233
0.27741,0.30476,0.27053,0.29399,0.27014,0.29875,0.257,0.26587,0.25421,0.25123,0.23827,0.22703,0.23295,0.3627,0.3516,0.33292,0.32939,0.30756,0.29057,0.28302,0.2636,0.25752,0.25363,0.23795,0.2287,0.22099
0.15453,0.22799,0.18569,0.22059,0.20516,0.19069,0.20791,0.20135,0.18757,0.1928,0.17413,0.17934,0.17896,0.38567,0.37194,0.33456,0.31821,0.30025,0.28834,0.28601,0.27824,0.2699,0.26348,0.24813,0.23212,0.22605
0.17172,0.23852,0.22911,0.19597,0.19853,0.18644,0.14315,0.19585,0.1806,0.19828,0.17301,0.16263,0.1737,0.37789,0.35075,0.34151,0.31765,0.30039,0.29478,0.28524,0.28184,0.26385,0.25717,0.24371,0.22985,0.22197
0.37747,0.35128,0.33332,0.32054,0.31588,0.30966,0.28981,0.27699,0.27154,0.25999,0.24329,0.2278,0.21455,0.37747,0.35128,0.33333,0.32055,0.31587,0.30967,0.2898,0.27699,0.27154,0.25999,0.24329,0.2278,0.21455
0.37485,0.36697,0.34482,0.31536,0.308,0.30423,0.28415,0.26601,0.25211,0.24623,0.22349,0.21387,0.20477,0.37518,0.36711,0.34481,0.31563,0.30816,0.30416,0.28439,0.26594,0.25183,0.24622,0.22346,0.21406,0.20455
0.17529,0.26761,0.24796,0.24915,0.24384,0.23224,0.17179,0.2012,0.19204,0.20216,0.17695,0.18121,0.15769,0.38379,0.36147,0.35057,0.34315,0.32266,0.30292,0.28697,0.28173,0.2707,0.25628,0.24728,0.23312,0.21851
0.1743,0.2436,0.2659,0.24504,0.23408,0.1975,0.21956,0.1961,0.1967,0.20927,0.17377,0.17664,0.17481,0.37718,0.36631,0.35317,0.33149,0.31025,0.29857,0.27972,0.26726,0.25577,0.2467,0.23877,0.23056,0.21865
0.3464,0.34192,0.31735,0.30552,0.29205,0.29217,0.28117,0.2718,0.25257,0.2419,0.23752,0.22672,0.19474,0.36569,0.35793,0.33592,0.32309,0.30669,0.29918,0.29636,0.2838,0.25886,0.25614,0.25009,0.23002,0.2052
0.17418,0.24197,0.2237,0.22788,0.17366,0.22999,0.18822,0.20971,0.20339,0.21089,0.20049,0.17081,0.16785,0.37791,0.36302,0.33575,0.32705,0.32007,0.29557,0.29132,0.28892,0.27803,0.27041,0.25871,0.23088,0.20268
0.34914,0.29503,0.32043,0.31865,0.29544,0.3061,0.2723,0.27435,0.27584,0.25573,0.2709,0.2329,0.22156,0.37421,0.35952,0.34385,0.32355,0.30959,0.2942,0.29023,0.26604,0.25831,0.25525,0.24911,0.22846,0.21462
0.16668,0.23882,0.21473,0.19409,0.20331,0.19166,0.21362,0.21628,0.15896,0.17842,0.17661,0.17554,0.15117,0.36947,0.35212,0.33331,0.3261,0.31438,0.30041,0.29305,0.28241,0.26873,0.25999,0.24477,0.22277,0.21136
0.2791,0.32696,0.32338,0.29715,0.2578,0.28731,0.27512,0.27792,0.27465,0.24349,0.24941,0.23798,0.21242,0.38934,0.36607,0.34293,0.32254,0.31218,0.31039,0.28111,0.27329,0.26278,0.25442,0.24411,0.23822,0.218
0.35375,0.33386,0.32372,0.29595,0.29014,0.26613,0.27751,0.28057,0.25882,0.24704,0.23215,0.22647,0.21534,0.37324,0.35238,0.3366,0.31355,0.30833,0.2945,0.28787,0.28528,0.27389,0.25728,0.24492,0.23538,0.2239
0.15276,0.25212,0.19163,0.23824,0.22148,0.18765,0.20875,0.18571,0.21185,0.18384,0.16031,0.20395,0.16745,0.40111,0.36128,0.33802,0.32844,0.31707,0.30546,0.29247,0.28444,0.26266,0.25482,0.24547,0.23142,0.22402
0.34318,0.30655,0.31628,0.29339,0.29605,0.27378,0.28856,0.25818,0.29308,0.24631,0.26026,0.24091,0.22643,0.38336,0.35479,0.32646,0.31653,0.3068,0.29438,0.28348,0.27444,0.25986,0.25351,0.22995,0.22199,0.22053
0.34594,0.33088,0.31686,0.30494,0.28883,0.2982,0.2709,0.25732,0.25345,0.23775,0.23141,0.21648,0.20625,0.36908,0.36454,0.34175,0.32093,0.3141,0.30459,0.2867,0.27952,0.26303,0.24848,0.23776,0.21985,0.21526
0.3665,0.3541,0.33929,0.32655,0.31583,0.31328,0.27843,0.27123,0.26038,0.26815,0.23866,0.2371,0.22616,0.37735,0.36976,0.34039,0.3326,0.31923,0.31369,0.28417,0.27237,0.26947,0.25298,0.24079,0.23159,0.22028
0.17701,0.18903,0.20245,0.26828,0.25786,0.19819,0.24517,0.22084,0.18903,0.19882,0.18175,0.17318,0.17368,0.38548,0.36585,0.35144,0.32505,0.31346,0.30626,0.29537,0.28538,0.27474,0.25616,0.2468,0.23384,0.22306
0.17018,0.24152,0.25341,0.19079,0.23817,0.20669,0.19453,0.19668,0.19413,0.19291,0.19312,0.16347,0.1619,0.371,0.35093,0.34313,0.31869,0.30996,0.30232,0.28893,0.2763,0.26525,0.25276,0.23947,0.22898,0.22652
0.1515,0.25284,0.18447,0.23405,0.1992,0.20416,0.16662,0.18292,0.16894,0.20029,0.1621,0.18082,0.17349,0.37553,0.35633,0.34787,0.33389,0.30694,0.29472,0.28683,0.27021,0.26572,0.26273,0.23775,0.22301,0.21909
0.29205,0.30889,0.27717,0.30614,0.27239,0.30261,0.2874,0.28163,0.25401,0.27547,0.25509,0.24823,0.24595,0.365,0.34281,0.3401,0.30991,0.29991,0.29299,0.28714,0.27931,0.26133,0.24714,0.23903,0.22572,0.21886
0.3569,0.34082,0.33173,0.31178,0.29029,0.29784,0.28908,0.27558,0.26194,0.24809,0.24245,0.23344,0.23252,0.37637,0.35971,0.34685,0.32772,0.31796,0.30143,0.30058,0.28449,0.27322,0.26066,0.25569,0.24541,0.2382
0.16542,0.21719,0.23163,0.22921,0.20275,0.20291,0.18261,0.17312,0.20404,0.21516,0.19012,0.18202,0.15362,0.38373,0.36544,0.33977,0.33233,0.3092,0.29948,0.28453,0.27811,0.26612,0.25988,0.2542,0.22896,0.21533
0.16921,0.2291,0.27575,0.19022,0.22989,0.20957,0.20228,0.20584,0.16915,0.22059,0.16223,0.16905,0.14916,0.39558,0.36992,0.35794,0.33346,0.30501,0.2993,0.2861,0.27385,0.26288,0.25399,0.22806,0.21892,0.19177
0.2146,0.28661,0.23538,0.2589,0.25475,0.21552,0.22991,0.23069,0.2371,0.20708,0.18929,0.18611,0.16898,0.37734,0.35586,0.3384,0.32809,0.31526,0.29312,0.28744,0.26821,0.26348,0.25323,0.23018,0.22538,0.20282
0.16674,0.2223,0.20642,0.18198,0.23065,0.17231,0.18512,0.20411,0.18243,0.19092,0.18224,0.16538,0.1434,0.38265,0.37691,0.33952,0.32659,0.30474,0.29476,0.28207,0.27267,0.25885,0.25217,0.24613,0.2241,0.203
