reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
0.10707,0.017803,0.019492,-0.045067,-0.042886,-0.0020964,0.091482,-0.071079,0.028417,0.021642,0.0099954,0.11985,0.02293,0.021275,0.0038231,-0.02348,0.00209,-0.017124,0.1132,-0.027258,0.026109,0.038481,0.025222,-0.0011265,0.098056,0.061507
0.13318,-0.0099105,0.058008,0.11597,0.076902,0.00092751,-0.013145,-0.060173,0.096532,-0.076856,-0.092614,0.028732,0.024613,0.032151,0.012739,0.091613,0.11215,0.025033,-0.018123,-0.070657,-0.010681,0.10878,-0.15047,-0.057245,0.027287,0.075019
0.10924,-0.11286,0.013623,0.031346,-0.093717,-0.085207,0.081473,0.060373,0.00026333,-0.079762,-0.010759,0.075899,0.036096,0.026198,-0.10774,0.071222,-0.096783,-0.039937,0.0014242,0.025879,-0.075715,0.0046403,0.058033,-0.0071874,0.098595,-0.03016
-0.077793,0.075452,0.06918,0.092655,0.063793,0.0026733,0.015338,-0.09544,-0.0088793,-0.018334,0.006305,-0.0095774,-0.19106,-0.059085,0.10333,0.031103,-0.047094,-0.074891,0.032389,-0.011869,0.062236,0.0019278,-0.046374,-0.0013897,0.022266,-0.093269
0.1124,-0.075028,-0.14763,-0.059864,-0.064182,-0.092321,0.11191,-0.035532,-0.050415,0.037969,-0.004781,-0.035884,-0.012821,-0.0026013,0.0070746,-0.086409,0.031601,-0.098963,-0.16196,0.025999,-0.03294,-0.12078,-0.01376,-0.061677,0.029643,-0.064735
0.17398,0.083019,0.061848,0.13573,0.11787,-0.029694,0.029405,-0.042468,0.18756,-0.092372,0.024448,0.093222,-0.0033132,0.15036,0.099679,0.047979,0.0043546,0.029378,0.016679,-0.089145,0.025013,0.071807,0.059184,-0.065287,-0.012358,0.042115
-0.15019,0.077283,-0.044805,-0.048408,0.095806,0.031769,0.058087,0.021494,-0.078229,0.14494,-0.051582,0.14785,0.053491,-0.12835,-0.075217,-0.00054769,-0.027322,0.040703,-0.0032059,0.12448,0.09366,-0.11534,0.0043475,0.038323,0.091946,-0.017049
0.16104,0.010569,0.19905,0.066065,0.049055,0.051575,0.023151,-0.060264,0.12872,-0.019008,0.059942,-0.032964,-0.030469,0.13427,0.021408,0.12867,0.040276,0.05064,0.065718,0.05567,0.054755,0.00051705,-0.011607,0.069306,-0.0053085,-0.048424
0.12396,0.035427,-0.074985,0.027131,-0.028061,-0.037436,-0.087735,0.09814,0.016692,-0.087406,-0.040482,-0.001252,0.12234,-0.067731,0.021326,-0.047192,-0.036055,0.0088183,-0.075428,0.01053,0.036298,-0.098009,0.052463,0.018539,0.0882,0.096873
0.10859,-0.0045925,0.016337,0.049206,0.014835,-0.026101,-0.14679,0.01696,-0.0050626,0.003463,-0.094283,-0.10587,-0.054958,0.014267,0.034786,0.0089397,-0.039393,-0.053924,0.010652,0.054806,0.047133,-0.056641,-0.073449,-0.10402,-0.00082398,-0.0014042
-0.07545,0.10837,0.057126,-0.0076383,0.021295,0.018221,-0.084192,-0.029898,-0.10068,-0.02705,-0.01575,-0.02587,0.02556,-0.022435,0.067625,-0.043741,0.00014978,-0.057753,-0.087555,-0.024606,-0.038769,0.022401,0.040495,-0.063034,-0.014981,0.057884
0.15588,-0.010564,-0.10515,-0.013913,-0.015491,0.01088,-0.098641,-0.063683,0.019712,0.022148,-0.04052,-0.032281,0.034962,-0.018059,0.08706,-0.21691,-0.044692,0.037293,-0.048626,-0.1285,-0.15662,0.092784,0.017523,0.01493,-0.06722,0.012699
0.16054,0.0059931,0.015594,-0.052214,0.094082,-0.018636,0.034678,0.030584,-0.043441,-0.065009,-0.0090902,0.028082,-0.091754,0.014108,0.12314,-0.034925,0.096772,-0.09478,0.1031,0.0020135,0.044132,0.012592,0.0089931,0.061654,0.033606,-0.017249
0.15628,0.10431,0.06675,-0.051594,-0.044822,0.051279,0.04573,0.06045,-0.0027878,0.082757,-0.02751,-0.016751,-0.017502,0.036663,0.12828,-0.01908,0.17533,-0.12555,-0.027547,0.10286,0.10548,0.023386,-0.0071973,0.022309,0.10858,-0.098066
0.096471,-0.11128,-0.016448,0.11285,-0.016031,0.11468,-0.080639,0.11452,0.10265,-0.011538,-0.033286,0.047631,-0.082744,-0.03048,0.19935,0.070512,-0.037349,0.089882,-0.026495,-0.031667,0.080996,-0.12695,-0.0021045,-0.063209,-0.022822,0.004447
-0.11344,-0.13099,0.0072613,-0.017259,-0.059445,0.14813,0.054162,0.070069,-0.040882,0.083581,0.01189,0.19587,0.10007,0.062399,0.0066744,-0.054284,-0.13825,0.031068,0.035415,-0.041484,0.015845,0.18612,0.15848,-0.071739,0.10954,0.00043967
0.16478,-0.083571,-0.052234,-0.030516,-0.034238,0.0085948,-0.043645,-0.0288,-0.0067931,-0.014126,-0.063042,-0.022633,-0.033963,0.019462,-0.069824,0.13586,0.031597,-0.023195,-0.047223,-0.058102,-0.086069,-0.0069257,-0.073002,0.14274,-0.10988,0.0081035
0.15115,-0.037553,0.026837,0.042727,-0.0028689,-0.071064,0.096995,-0.021884,0.0223,0.16019,0.020164,0.091569,0.032587,-0.058938,0.10697,0.029942,0.039788,0.0024126,0.025672,0.053173,-0.013447,0.10644,0.039124,0.12874,0.044065,0.028587
0.12238,0.015274,0.067395,0.0054171,0.1566,0.01789,0.029331,0.028834,-0.21255,-0.062335,0.0020444,0.022639,0.02732,0.059825,0.034326,0.046035,0.097095,0.016746,0.022606,-0.04815,-0.019972,-0.065828,-0.16849,0.030224,0.025849,0.10643
0.16306,-0.024839,0.0064599,-0.096465,0.054003,-0.060154,0.071757,-0.032786,0.051327,0.037468,-0.041656,0.05279,0.0095069,0.087217,-0.028003,0.034456,0.046711,-0.025607,-0.091771,0.06003,0.025315,0.03327,-0.085396,-0.0059538,-0.037243,-0.058505
-0.072137,0.022165,0.051322,-0.0068055,0.062912,0.099367,-0.058753,5.3857e-05,-0.0069736,0.15221,0.00804,0.055183,0.012081,0.026066,0.0034671,0.050405,-0.019123,-0.073934,-0.1754,0.040283,-0.017761,-0.070623,-0.016827,0.071386,0.12,-0.0063277
0.16201,-0.0089184,0.029612,0.073022,0.053497,-0.021836,-0.049598,0.042349,-0.016054,0.0041907,-0.020994,-0.10209,0.018903,-0.0027307,0.12222,-0.034512,0.054497,0.1061,0.067553,-0.051992,-0.05705,0.0073382,-0.13388,-0.016648,-0.079945,0.041454
0.1084,-0.067709,0.076953,-0.060632,0.21995,0.019022,-0.033914,0.088856,0.0938,-0.0067804,0.058451,-0.038173,0.013047,0.029761,0.02818,0.032979,0.081568,0.03481,0.070951,-0.015242,0.041205,0.061331,-0.0073326,0.06457,-0.017892,0.15174
0.10254,-0.00018853,-0.02894,0.052595,-0.1427,-0.011586,0.00022168,0.10806,-0.0056105,0.099769,-0.043717,-0.007991,0.13509,0.033722,-0.013442,-0.040208,0.083434,0.03324,-0.067847,-0.062241,-0.074275,0.089952,-0.05054,0.074749,0.13864,0.057971
-0.082123,0.061265,0.043386,0.090183,0.11507,-0.05568,-0.086365,0.058604,0.13063,0.033483,-0.060474,-0.002826,-0.035476,0.054368,-0.028603,-0.012129,0.016976,-0.060184,-0.083002,0.14145,0.15584,-0.095527,0.075435,-0.025743,0.031862,-0.03861
0.12912,-0.021593,0.065858,-0.12715,0.029758,-0.0417,0.042192,0.069783,0.029444,-0.10974,0.054246,-0.010419,0.065477,0.013832,0.10925,-0.054039,0.018343,0.090734,-0.14113,-0.0024699,-0.022758,0.12652,-0.11973,0.0073189,0.067382,0.0076513
